Name,Number of Laps,Verstappen ,Hamilton ,Bottas,Perez ,Sainz,Norris ,Leclerc ,Ricciardo ,Gasly ,Alonso ,Ocon ,Vettel ,Stroll ,Tsunoda ,Russell ,Räikkönen ,Latifi ,Giovinazzi ,Schumacher ,Mazepin 
Bahrain ,56,2,2,3,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,0
Emilia Romagna ,63,2,4,1,2,2,2,2,2,4,3,5,5,3,3,1,3,0,4,4,4
Portugal ,66,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,4
Spain,66,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,1,3,2,2,2
Monaco ,78,1,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan ,51,1,3,3,3,3,3,3,3,3,4,0,3,0,3,4,3,2,4,5,6
France ,53,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Styria ,71,1,2,1,2,1,1,2,1,0,1,1,1,1,1,2,1,2,1,1,1
Austria ,71,2,2,1,1,1,1,1,1,2,1,0,2,2,2,1,1,1,2,1,2
Great Britain ,52,0,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
Hungary ,70,5,4,0,0,3,1,0,3,3,3,3,3,0,3,3,4,3,5,3,0
Belgium ,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,72,2,3,2,2,1,1,1,1,1,1,1,2,1,1,2,0,1,2,2,1
Italy ,53,1,1,1,1,1,1,1,1,0,1,1,2,1,0,1,0,1,2,1,3
Russia ,53,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2
Turkey ,58,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1
United States ,56,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,3
Mexico ,71,1,1,4,1,1,1,1,2,1,1,1,1,2,0,1,1,2,1,0,2
Brazil ,71,4,4,4,5,4,5,4,3,4,3,3,4,3,5,4,4,4,4,5,3
Qatar ,57,3,2,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1
Saudi Arabia ,50,2,3,3,2,2,3,3,2,2,3,2,2,3,3,2,3,3,2,0,1
Abu Dhabi ,58,3,1,1,3,1,2,2,2,2,1,1,1,2,2,0,1,1,1,2,0